"filename", "language", "Markdown", "SQL", "Java", "comment", "blank", "total"
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\Comandi.sql", "SQL", 0, -94, 0, -13, -42, -149
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\README.md", "Markdown", -1, 0, 0, 0, -1, -2
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\BInserzionista.class", "Java", 0, 0, -182, 0, -6, -188
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\BTempo.class", "Java", 0, 0, -5, 0, 0, -5
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\BUtente.class", "Java", 0, 0, -99, 0, -2, -101
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\BUtenteRegistrato.class", "Java", 0, 0, -5, 0, 0, -5
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\MainMenu.class", "Java", 0, 0, -69, 0, -2, -71
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Boundary\NomieIndiciFoto.class", "Java", 0, 0, -9, 0, 0, -9
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Control\GestorePiattaformaAnnunci.class", "Java", 0, 0, -149, 0, -4, -153
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\AnnuncioDAO.class", "Java", 0, 0, -93, 0, 0, -93
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\ContattoDAO.class", "Java", 0, 0, -53, 0, 0, -53
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\DBManager.class", "Java", 0, 0, -14, 0, 0, -14
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\FotografiaDAO.class", "Java", 0, 0, -57, 0, 0, -57
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\InserzionistaDAO.class", "Java", 0, 0, -31, 0, 0, -31
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DAO\UtenteRegistratoDAO.class", "Java", 0, 0, -32, 0, 0, -32
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DBRecovery\DBSet.class", "Java", 0, 0, -129, 0, -1, -130
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DBRecovery\DROP.sql", "SQL", 0, -11, 0, 0, -2, -13
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DBRecovery\INSERT.sql", "SQL", 0, -9, 0, 0, -9, -18
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\DBRecovery\LISTATO.sql", "SQL", 0, -75, 0, 0, -23, -98
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Annuncio.class", "Java", 0, 0, -40, -32, -2, -74
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Contatto.class", "Java", 0, 0, -32, 0, 0, -32
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Fotografia.class", "Java", 0, 0, -13, 0, 0, -13
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Inserzionista.class", "Java", 0, 0, -23, 0, -1, -24
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\MailingList.class", "Java", 0, 0, -17, 0, 0, -17
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Stato.class", "Java", 0, 0, -12, 0, 0, -12
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\Tipologia.class", "Java", 0, 0, -10, 0, 0, -10
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Entity\UtenteRegistrato.class", "Java", 0, 0, -16, 0, 0, -16
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\Utility\DatiInserzionistaAnnuncio.class", "Java", 0, 0, -22, 0, -2, -24
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\exception\AuthenticationException.class", "Java", 0, 0, -18, 0, 0, -18
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\exception\DAOException.class", "Java", 0, 0, -18, 0, 0, -18
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\exception\DBConnectionException.class", "Java", 0, 0, -13, 0, 0, -13
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\exception\OperationException.class", "Java", 0, 0, -20, 0, 0, -20
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\exception\RegistrationException.class", "Java", 0, 0, -18, 0, 0, -18
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\test\BInserzionistaTest\TestAggiornaEliminaAnnuncio.class", "Java", 0, 0, -72, 0, 0, -72
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\test\BUtenteTest\TestCheckPresenzaContatto.class", "Java", 0, 0, -27, 0, 0, -27
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\test\BUtenteTest\TestRegistrazioneUtente.class", "Java", 0, 0, -37, 0, 0, -37
"c:\Users\Luigi Fienga\Desktop\ElaboratoIS\bin\test\BUtenteTest\TestRicercaAnnunci.class", "Java", 0, 0, -87, 0, 0, -87
"Total", "-", -1, -189, -1422, -45, -97, -1754
